"V: Abastecimiento de agua en la vivienda","Provincia","V: La vivienda tiene alumbrado eléctrico por red pública","","","","","","",""
"Red pública dentro de la vivienda","","Sí tiene alumbrado eléctrico","No tiene alumbrado eléctrico","Total","","","","",""
""," Cusco, provincia: Urubamba","90.13%","9.87%","100.00%","","","","",""
""," Huancavelica, provincia: Acobamba","85.79%","14.21%","100.00%","","","","",""
""," Huancavelica, provincia: Angaraes","75.56%","24.44%","100.00%","","","","",""
""," Huancavelica, provincia: Castrovirreyna","84.83%","15.17%","100.00%","","","","",""
""," Huancavelica, provincia: Churcampa","84.32%","15.68%","100.00%","","","","",""
""," Huancavelica, provincia: Huancavelica","91.71%","8.29%","100.00%","","","","",""
""," Huancavelica, provincia: Huaytará","81.61%","18.39%","100.00%","","","","",""
""," Huancavelica, provincia: Tayacaja","86.41%","13.59%","100.00%","","","","",""
""," Huánuco, provincia: Ambo","86.78%","13.22%","100.00%","","","","",""
""," Huánuco, provincia: Dos De Mayo","80.73%","19.27%","100.00%","","","","",""
""," Huánuco, provincia: Huacaybamba","85.09%","14.91%","100.00%","","","","",""
""," Huánuco, provincia: Huamalíes","78.30%","21.70%","100.00%","","","","",""
""," Huánuco, provincia: Huánuco","94.96%","5.04%","100.00%","","","","",""
""," Huánuco, provincia: Lauricocha","81.30%","18.70%","100.00%","","","","",""
""," Huánuco, provincia: Leoncio Prado","94.92%","5.08%","100.00%","","","","",""
""," Huánuco, provincia: Marañón","66.59%","33.41%","100.00%","","","","",""
""," Huánuco, provincia: Pachitea","84.12%","15.88%","100.00%","","","","",""
""," Huánuco, provincia: Puerto Inca","83.83%","16.17%","100.00%","","","","",""
""," Huánuco, provincia: Yarowilca","74.89%","25.11%","100.00%","","","","",""
""," Ica, provincia: Chincha","96.92%","3.08%","100.00%","","","","",""
""," Ica, provincia: Ica","96.92%","3.08%","100.00%","","","","",""
""," Ica, provincia: Nazca","96.97%","3.03%","100.00%","","","","",""
""," Ica, provincia: Palpa","93.96%","6.04%","100.00%","","","","",""
""," Ica, provincia: Pisco","96.12%","3.88%","100.00%","","","","",""
""," Junín, provincia: Chanchamayo","95.48%","4.52%","100.00%","","","","",""
""," Junín, provincia: Chupaca","89.48%","10.52%","100.00%","","","","",""
""," Junín, provincia: Concepción","89.56%","10.44%","100.00%","","","","",""
""," Junín, provincia: Huancayo","95.07%","4.93%","100.00%","","","","",""
""," Junín, provincia: Jauja","91.95%","8.05%","100.00%","","","","",""
""," Junín, provincia: Junín","91.48%","8.52%","100.00%","","","","",""
""," Junín, provincia: Satipo","90.81%","9.19%","100.00%","","","","",""
""," Junín, provincia: Tarma","94.55%","5.45%","100.00%","","","","",""
""," Junín, provincia: Yauli","96.46%","3.54%","100.00%","","","","",""
""," La Lbertad, provincia: Ascope","96.40%","3.60%","100.00%","","","","",""
""," La Lbertad, provincia: Bolívar","80.13%","19.87%","100.00%","","","","",""
""," La Lbertad, provincia: Chepén","96.39%","3.61%","100.00%","","","","",""
""," La Lbertad, provincia: Gran Chimú","90.93%","9.07%","100.00%","","","","",""
""," La Lbertad, provincia: Julcán","83.42%","16.58%","100.00%","","","","",""
""," La Lbertad, provincia: Otuzco","91.37%","8.63%","100.00%","","","","",""
""," La Lbertad, provincia: Pacasmayo","96.01%","3.99%","100.00%","","","","",""
""," La Lbertad, provincia: Pataz","79.61%","20.39%","100.00%","","","","",""
""," La Lbertad, provincia: Sánchez Carrión","83.57%","16.43%","100.00%","","","","",""
""," La Lbertad, provincia: Santiago de Chuco","91.81%","8.19%","100.00%","","","","",""
""," La Lbertad, provincia: Trujillo","98.24%","1.76%","100.00%","","","","",""
""," La Lbertad, provincia: Virú","90.73%","9.27%","100.00%","","","","",""
""," Lambayeque, provincia: Chiclayo","97.85%","2.15%","100.00%","","","","",""
""," Lambayeque, provincia: Ferreñafe","92.90%","7.10%","100.00%","","","","",""
""," Lambayeque, provincia: Lambayeque","93.74%","6.26%","100.00%","","","","",""
""," Lima, provincia: Barranca","97.49%","2.51%","100.00%","","","","",""
""," Lima, provincia: Cajatambo","96.89%","3.11%","100.00%","","","","",""
""," Lima, provincia: Cañete","94.29%","5.71%","100.00%","","","","",""
""," Lima, provincia: Canta","95.23%","4.77%","100.00%","","","","",""
""," Lima, provincia: Huaral","97.14%","2.86%","100.00%","","","","",""
""," Lima, provincia: Huarochirí","92.16%","7.84%","100.00%","","","","",""
""," Lima, provincia: Huaura","96.77%","3.23%","100.00%","","","","",""
""," Lima, provincia: Lima","99.44%","0.56%","100.00%","","","","",""
""," Lima, provincia: Oyón","96.58%","3.42%","100.00%","","","","",""
""," Lima, provincia: Yauyos","96.42%","3.58%","100.00%","","","","",""
""," Loreto, provincia: Alto Amazonas","95.88%","4.12%","100.00%","","","","",""
""," Loreto, provincia: Datem del Marañón","93.35%","6.65%","100.00%","","","","",""
""," Loreto, provincia: Loreto","96.13%","3.87%","100.00%","","","","",""
""," Loreto, provincia: Mariscal Ramón Castilla","96.39%","3.61%","100.00%","","","","",""
""," Loreto, provincia: Maynas","97.97%","2.03%","100.00%","","","","",""
""," Loreto, provincia: Putumayo","97.44%","2.56%","100.00%","","","","",""
""," Loreto, provincia: Requena","96.76%","3.24%","100.00%","","","","",""
""," Loreto, provincia: Ucayali","81.55%","18.45%","100.00%","","","","",""
""," Madre de Dios prov. de Manu","90.86%","9.14%","100.00%","","","","",""
