"DEPARTAMENTO","PROVINCIA","UBIGEO","Esperanza_vida","Población","P_agua","P_luz","P_alfabeta","P_asegurada","P_presu_usado","Nivel_pobreza","Indice_corr","Ing_fam"
" JUNÍN","CHUPACA","1209","72.48","52988","74.34","81.09","88.59","63.91","72.6","2","37.7","787.86"
" HUANCAVELICA","CHURCAMPA","0905","57.81","32538","74.4","80.15","76.61","92.93","79.2","4","31.8","320.14"
" JUNÍN","CONCEPCION","1202","72.81","55591","79.39","81.45","86.64","70.57","80.7","2","37.5","615.97"
" AREQUIPA","CONDESUYOS","0406","83.08","16118","60.43","76.51","87.22","75.29","59.8","2","39.1","1223.77"
" AMAZONAS","CONDORCANQUI","0104","67.53","42470","19.63","14.74","77.73","86.34","65.6","5","30.2","237.84"
" TUMBES","CONTRALMIRANTE VILLAR","2402","74.51","21057","74.83","85.05","89.52","82.35","72.2","1","51","826.17"
" CAJAMARCA","CONTUMAZA","0605","69.79","27693","66.93","63.69","86.66","89.2","74.5","4","33.3","557.82"
" UCAYALI","CORONEL PORTILLO","2501","75.63","384168","50.83","63.93","88.63","74.77","79.5","1","60.3","754.95"
" ÁNCASH","CORONGO","0209","70.84","7532","75.78","92.43","83.64","81.59","74.2","4","30","509.14"
" APURÍMAC","COTABAMBAS","0305","76.18","50656","68.33","72.26","77.2","87.95","79.2","4","52.8","491.46"
" CUSCO","CUSCO","0801","77.23","447588","88.82","93.82","91.62","67.55","72.9","1","53.9","968.17"
" CAJAMARCA","CUTERVO","0606","78.67","120723","64.51","69.13","79.25","94.68","78.8","5","41","443.18"
" PASCO","DANIEL ALCIDES CARRION","1902","73.67","43580","57.44","67.53","86.39","86.1","70.7","5","42.3","321.76"
" LORETO","DATEM DEL MARANON","1607","82.18","48482","5.76","39.13","75.14","88.82","78.9","4","36.6","427.42"
" HUÁNUCO","DOS DE MAYO","1003","66.66","33258","59.33","61.29","81.35","91.64","76.3","4","27.5","540.84"
" PUNO","EL COLLAO","2105","80.82","63878","29.56","55.36","82.96","68.78","79.3","4","48.3","317.11"
" SAN MARTÍN","EL DORADO","2203","81.04","36752","74.39","77.71","81.26","90.57","91.6","3","36","490.94"
" CUSCO","ESPINAR","0808","66.14","57582","48.03","48.41","85.08","75.95","74.6","3","52.5","693.00"
" LAMBAYEQUE","FERRENAFE","1402","69.6","97415","66.12","76.26","83.22","85.04","80.4","3","39.6","652.17"
" MOQUEGUA","GENERAL SANCHEZ CERRO","1802","83.94","14865","45.81","64.75","88.34","75.55","69.8","2","24.6","767.14"
" LA LBERTAD","GRAN CHIMU","1311","72.06","26892","61.41","83.09","84.45","80.78","68.3","4","40.6","669.68"
" APURÍMAC","GRAU","0307","62.85","21242","78.46","81.69","78.89","94.77","62.5","4","23.1","322.20"
" HUÁNUCO","HUACAYBAMBA","1004","80.89","16551","70.25","79.87","77.72","92.09","70.6","5","25.4","296.76"
" CAJAMARCA","HUALGAYOC","0607","80.14","77944","53.4","89.66","74.49","85.27","74.5","5","48.2","527.45"
" SAN MARTÍN","HUALLAGA","2204","79.33","27506","73.77","75.13","85.8","87.83","85.7","2","35.4","606.39"
" HUÁNUCO","HUAMALIES","1005","76.96","52039","74.1","66.96","82.79","91.15","84.8","4","41.2","429.06"
" AYACUCHO","HUAMANGA","0501","67.77","282194","80.04","80.29","86.05","81.81","72.1","2","60.5","581.14"
" AYACUCHO","HUANCA SANCOS","0503","74.39","8409","91","78.01","80.71","95.71","74.1","4","36.4","509.05"
" PIURA","HUANCABAMBA","2003","60.13","111501","49.92","73.35","76.15","90.23","66.9","5","43.6","307.83"
" PUNO","HUANCANE","2106","67.93","57651","44.89","76.19","80.78","74.44","59.9","4","31","290.98"
" HUANCAVELICA","HUANCAVELICA","0901","59.72","115054","72.72","79.65","82.63","91.69","72.9","3","57.9","495.56"
" JUNÍN","HUANCAYO","1201","71.64","545615","85.71","83.51","90.54","65.7","81.7","1","59.5","800.97"
" AYACUCHO","HUANTA","0504","76.63","89466","73.23","78.48","81.83","88.32","77.9","4","41.4","450.84"
" HUÁNUCO","HUANUCO","1001","76.22","293397","53.01","73.39","84.73","78.04","86.9","2","56.3","729.04"
" LIMA","HUARAL","1506","82.42","183898","80.14","92.84","90.47","74.22","59.3","1","54.5","1294.11"
" ÁNCASH","HUARAZ","0201","74.99","163936","85.4","83.55","87.12","80.31","59.7","1","62.7","806.26"
" ÁNCASH","HUARI","0210","77.05","58714","90.68","83.32","80.11","92.9","47.3","3","53.6","614.82"
" ÁNCASH","HUARMEY","0211","81.07","30560","70.2","83.94","90.47","75.55","67.1","1","49.1","838.13"
" LIMA","HUAROCHIRI","1507","72.76","58145","75.35","84.88","91.3","75.08","82.7","1","39.3","1071.66"
" LIMA","HUAURA","1508","78.71","227685","74.53","90.72","91.02","73.86","68.4","1","59.7","1306.11"
" ÁNCASH","HUAYLAS","0212","84.43","51334","83.33","86.11","79.76","87.68","57.3","2","44.3","546.83"
" HUANCAVELICA","HUAYTARA","0906","59.2","17247","53.73","60.93","83.64","87.73","72.9","3","22.7","380.12"
" ICA","ICA","1101","83.15","391519","85.78","90.18","92.24","70.78","60.2","1","56.2","998.54"
" MOQUEGUA","ILO","1803","80.75","74649","64.49","82.22","92.55","76.52","68.1","2","56.1","1077.41"
" AREQUIPA","ISLAY","0407","76.7","52034","83.97","92.52","91.37","70.16","65.3","1","50.3","1102.48"
" CAJAMARCA","JAEN","0608","77.14","185432","65.38","69.24","84.55","82.6","78.4","4","45.7","666.48"
" JUNÍN","JAUJA","1204","69.98","83257","81.73","88.19","88.5","73.53","80.8","2","40.4","747.78"
" TACNA","JORGE BASADRE","2303","74.29","10773","82.29","88.42","92.32","70.25","68.3","1","60.4","1406.56"
