"Provincia","V: La vivienda tiene alumbrado eléctrico por red pública","","","","","","",""
"","Sí tiene alumbrado eléctrico","No tiene alumbrado eléctrico","Total","","","","",""
" Huancavelica, provincia: Castrovirreyna","64.00%","36.00%","100.00%","","","","",""
" Huancavelica, provincia: Churcampa","76.51%","23.49%","100.00%","","","","",""
" Huancavelica, provincia: Huancavelica","83.87%","16.13%","100.00%","","","","",""
" Huancavelica, provincia: Huaytará","57.29%","42.71%","100.00%","","","","",""
" Huancavelica, provincia: Tayacaja","81.66%","18.34%","100.00%","","","","",""
" Huánuco, provincia: Ambo","72.22%","27.78%","100.00%","","","","",""
" Huánuco, provincia: Dos De Mayo","64.67%","35.33%","100.00%","","","","",""
" Huánuco, provincia: Huacaybamba","76.61%","23.39%","100.00%","","","","",""
" Huánuco, provincia: Huamalíes","63.93%","36.07%","100.00%","","","","",""
" Huánuco, provincia: Huánuco","83.40%","16.60%","100.00%","","","","",""
" Huánuco, provincia: Lauricocha","49.09%","50.91%","100.00%","","","","",""
" Huánuco, provincia: Leoncio Prado","76.47%","23.53%","100.00%","","","","",""
" Huánuco, provincia: Marañón","54.97%","45.03%","100.00%","","","","",""
" Huánuco, provincia: Pachitea","57.56%","42.44%","100.00%","","","","",""
" Huánuco, provincia: Puerto Inca","44.92%","55.08%","100.00%","","","","",""
" Huánuco, provincia: Yarowilca","53.83%","46.17%","100.00%","","","","",""
" Ica, provincia: Chincha","91.77%","8.23%","100.00%","","","","",""
" Ica, provincia: Ica","91.04%","8.96%","100.00%","","","","",""
" Ica, provincia: Nazca","85.99%","14.01%","100.00%","","","","",""
" Ica, provincia: Palpa","83.76%","16.24%","100.00%","","","","",""
" Ica, provincia: Pisco","91.11%","8.89%","100.00%","","","","",""
" Junín, provincia: Chanchamayo","83.62%","16.38%","100.00%","","","","",""
" Junín, provincia: Chupaca","83.34%","16.66%","100.00%","","","","",""
" Junín, provincia: Concepción","83.70%","16.30%","100.00%","","","","",""
" Junín, provincia: Huancayo","93.11%","6.89%","100.00%","","","","",""
" Junín, provincia: Jauja","88.91%","11.09%","100.00%","","","","",""
" Junín, provincia: Junín","81.61%","18.39%","100.00%","","","","",""
" Junín, provincia: Satipo","62.64%","37.36%","100.00%","","","","",""
" Junín, provincia: Tarma","91.02%","8.98%","100.00%","","","","",""
" Junín, provincia: Yauli","89.39%","10.61%","100.00%","","","","",""
" La Lbertad, provincia: Ascope","93.31%","6.69%","100.00%","","","","",""
" La Lbertad, provincia: Bolívar","68.78%","31.22%","100.00%","","","","",""
" La Lbertad, provincia: Chepén","92.41%","7.59%","100.00%","","","","",""
" La Lbertad, provincia: Gran Chimú","84.45%","15.55%","100.00%","","","","",""
" La Lbertad, provincia: Julcán","70.61%","29.39%","100.00%","","","","",""
" La Lbertad, provincia: Otuzco","84.67%","15.33%","100.00%","","","","",""
" La Lbertad, provincia: Pacasmayo","92.51%","7.49%","100.00%","","","","",""
" La Lbertad, provincia: Pataz","70.76%","29.24%","100.00%","","","","",""
" La Lbertad, provincia: Sánchez Carrión","71.81%","28.19%","100.00%","","","","",""
" La Lbertad, provincia: Santiago de Chuco","74.96%","25.04%","100.00%","","","","",""
" La Lbertad, provincia: Trujillo","94.80%","5.20%","100.00%","","","","",""
" La Lbertad, provincia: Virú","86.00%","14.00%","100.00%","","","","",""
" Lambayeque, provincia: Chiclayo","95.65%","4.35%","100.00%","","","","",""
" Lambayeque, provincia: Ferreñafe","78.67%","21.33%","100.00%","","","","",""
" Lambayeque, provincia: Lambayeque","85.32%","14.68%","100.00%","","","","",""
" Lima, provincia: Barranca","94.22%","5.78%","100.00%","","","","",""
" Lima, provincia: Cajatambo","86.29%","13.71%","100.00%","","","","",""
" Lima, provincia: Cañete","83.82%","16.18%","100.00%","","","","",""
" Lima, provincia: Canta","85.87%","14.13%","100.00%","","","","",""
" Lima, provincia: Huaral","91.89%","8.11%","100.00%","","","","",""
" Lima, provincia: Huarochirí","81.44%","18.56%","100.00%","","","","",""
" Lima, provincia: Huaura","89.85%","10.15%","100.00%","","","","",""
" Lima, provincia: Lima","96.01%","3.99%","100.00%","","","","",""
" Lima, provincia: Oyón","93.40%","6.60%","100.00%","","","","",""
" Lima, provincia: Yauyos","85.64%","14.36%","100.00%","","","","",""
" Loreto, provincia: Alto Amazonas","71.59%","28.41%","100.00%","","","","",""
" Loreto, provincia: Datem del Marañón","42.18%","57.82%","100.00%","","","","",""
" Loreto, provincia: Loreto","64.79%","35.21%","100.00%","","","","",""
" Loreto, provincia: Mariscal Ramón Castilla","60.73%","39.27%","100.00%","","","","",""
" Loreto, provincia: Maynas","84.98%","15.02%","100.00%","","","","",""
" Loreto, provincia: Putumayo","43.88%","56.12%","100.00%","","","","",""
" Loreto, provincia: Requena","70.34%","29.66%","100.00%","","","","",""
" Loreto, provincia: Ucayali","57.69%","42.31%","100.00%","","","","",""
" Madre de Dios prov. de Manu","67.12%","32.88%","100.00%","","","","",""
" Madre de Dios prov. de Tahuamanu","82.54%","17.46%","100.00%","","","","",""
" Madre de Dios prov. de Tambopata","86.96%","13.04%","100.00%","","","","",""
" Moquegua, provincia: General Sánchez Cerro","57.33%","42.67%","100.00%","","","","",""
" Moquegua, provincia: Ilo","91.25%","8.75%","100.00%","","","","",""
" Moquegua, provincia: Mariscal Nieto","87.85%","12.15%","100.00%","","","","",""
" Pasco, provincia: Daniel Alcides Carrión","68.34%","31.66%","100.00%","","","","",""
" Pasco, provincia: Oxapampa","67.96%","32.04%","100.00%","","","","",""
" Pasco, provincia: Pasco","86.61%","13.39%","100.00%","","","","",""
" Piura, provincia: Ayabaca","69.77%","30.23%","100.00%","","","","",""
" Piura, provincia: Huancabamba","72.96%","27.04%","100.00%","","","","",""
" Piura, provincia: Morropón","85.40%","14.60%","100.00%","","","","",""
" Piura, provincia: Paita","88.44%","11.56%","100.00%","","","","",""
" Piura, provincia: Piura","87.66%","12.34%","100.00%","","","","",""
" Piura, provincia: Sechura","83.23%","16.77%","100.00%","","","","",""
" Piura, provincia: Sullana","90.30%","9.70%","100.00%","","","","",""
" Piura, provincia: Talara","91.20%","8.80%","100.00%","","","","",""
" Provincia Constitucional del Callao","98.28%","1.72%","100.00%","","","","",""
" Puno, provincia: Azángaro","72.56%","27.44%","100.00%","","","","",""
" Puno, provincia: Carabaya","54.03%","45.97%","100.00%","","","","",""
" Puno, provincia: Chucuito","64.40%","35.60%","100.00%","","","","",""
" Puno, provincia: El Collao","71.58%","28.42%","100.00%","","","","",""
" Puno, provincia: Huancané","77.71%","22.29%","100.00%","","","","",""
" Puno, provincia: Lampa","60.36%","39.64%","100.00%","","","","",""
" Puno, provincia: Melgar","69.33%","30.67%","100.00%","","","","",""
" Puno, provincia: Moho","77.64%","22.36%","100.00%","","","","",""
" Puno, provincia: Puno","77.38%","22.62%","100.00%","","","","",""
" Puno, provincia: San Antonio de Putina","69.99%","30.01%","100.00%","","","","",""
" Puno, provincia: San Román","90.67%","9.33%","100.00%","","","","",""
" Puno, provincia: Sandia","52.33%","47.67%","100.00%","","","","",""
" Puno, provincia: Yunguyo","81.39%","18.61%","100.00%","","","","",""
" San Martín, provincia: Bellavista","78.08%","21.92%","100.00%","","","","",""
" San Martín, provincia: El Dorado","77.85%","22.15%","100.00%","","","","",""
" San Martín, provincia: Huallaga","72.61%","27.39%","100.00%","","","","",""
" San Martín, provincia: Lamas","83.07%","16.93%","100.00%","","","","",""
" San Martín, provincia: Mariscal Cáceres","86.29%","13.71%","100.00%","","","","",""
" San Martín, provincia: Moyobamba","88.35%","11.65%","100.00%","","","","",""
" San Martín, provincia: Picota","84.55%","15.45%","100.00%","","","","",""
" San Martín, provincia: Rioja","85.93%","14.07%","100.00%","","","","",""
" San Martín, provincia: San Martín","94.47%","5.53%","100.00%","","","","",""
" San Martín, provincia: Tocache","83.30%","16.70%","100.00%","","","","",""
" Tacna, provincia: Candarave","76.00%","24.00%","100.00%","","","","",""
" Tacna, provincia: Jorge Basadre","86.53%","13.47%","100.00%","","","","",""
" Tacna, provincia: Tacna","87.38%","12.62%","100.00%","","","","",""
" Tacna, provincia: Tarata","70.82%","29.18%","100.00%","","","","",""
" Tumbes, provincia: Contralmirante Villar","86.86%","13.14%","100.00%","","","","",""
" Tumbes, provincia: Tumbes","91.22%","8.78%","100.00%","","","","",""
" Tumbes, provincia: Zarumilla","87.19%","12.81%","100.00%","","","","",""
" Ucayali, provincia: Atalaya","39.95%","60.05%","100.00%","","","","",""
" Ucayali, provincia: Coronel Portillo","82.73%","17.27%","100.00%","","","","",""
" Ucayali, provincia: Padre Abad","75.83%","24.17%","100.00%","","","","",""
" Ucayali, provincia: Purús","41.58%","58.42%","100.00%","","","","",""
" Total","87.69%","12.31%","100.00%","","","","",""
"","","","","","","","",""
"No Aplica :","00 000 002 434 950","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
