"Provincia","Sí, se encuentra afiliado a algún seguro","No se encuentra afiliado a ningún seguro","Total","","","","",""
" Huancavelica, provincia: Churcampa","92.93%","7.07%","100.00%","","","","",""
" Huancavelica, provincia: Huancavelica","91.69%","8.31%","100.00%","","","","",""
" Huancavelica, provincia: Huaytará","87.73%","12.27%","100.00%","","","","",""
" Huancavelica, provincia: Tayacaja","92.10%","7.90%","100.00%","","","","",""
" Huánuco, provincia: Ambo","85.21%","14.79%","100.00%","","","","",""
" Huánuco, provincia: Dos De Mayo","91.64%","8.36%","100.00%","","","","",""
" Huánuco, provincia: Huacaybamba","92.09%","7.91%","100.00%","","","","",""
" Huánuco, provincia: Huamalíes","91.15%","8.85%","100.00%","","","","",""
" Huánuco, provincia: Huánuco","78.04%","21.96%","100.00%","","","","",""
" Huánuco, provincia: Lauricocha","91.25%","8.75%","100.00%","","","","",""
" Huánuco, provincia: Leoncio Prado","76.80%","23.20%","100.00%","","","","",""
" Huánuco, provincia: Marañón","89.35%","10.65%","100.00%","","","","",""
" Huánuco, provincia: Pachitea","87.73%","12.27%","100.00%","","","","",""
" Huánuco, provincia: Puerto Inca","71.92%","28.08%","100.00%","","","","",""
" Huánuco, provincia: Yarowilca","94.86%","5.14%","100.00%","","","","",""
" Ica, provincia: Chincha","71.24%","28.76%","100.00%","","","","",""
" Ica, provincia: Ica","70.78%","29.22%","100.00%","","","","",""
" Ica, provincia: Nazca","73.78%","26.22%","100.00%","","","","",""
" Ica, provincia: Palpa","78.11%","21.89%","100.00%","","","","",""
" Ica, provincia: Pisco","70.61%","29.39%","100.00%","","","","",""
" Junín, provincia: Chanchamayo","68.35%","31.65%","100.00%","","","","",""
" Junín, provincia: Chupaca","63.91%","36.09%","100.00%","","","","",""
" Junín, provincia: Concepción","70.57%","29.43%","100.00%","","","","",""
" Junín, provincia: Huancayo","65.70%","34.30%","100.00%","","","","",""
" Junín, provincia: Jauja","73.53%","26.47%","100.00%","","","","",""
" Junín, provincia: Junín","76.97%","23.03%","100.00%","","","","",""
" Junín, provincia: Satipo","75.08%","24.92%","100.00%","","","","",""
" Junín, provincia: Tarma","69.06%","30.94%","100.00%","","","","",""
" Junín, provincia: Yauli","74.79%","25.21%","100.00%","","","","",""
" La Lbertad, provincia: Ascope","79.33%","20.67%","100.00%","","","","",""
" La Lbertad, provincia: Bolívar","87.02%","12.98%","100.00%","","","","",""
" La Lbertad, provincia: Chepén","73.67%","26.33%","100.00%","","","","",""
" La Lbertad, provincia: Gran Chimú","80.78%","19.22%","100.00%","","","","",""
" La Lbertad, provincia: Julcán","89.74%","10.26%","100.00%","","","","",""
" La Lbertad, provincia: Otuzco","80.27%","19.73%","100.00%","","","","",""
" La Lbertad, provincia: Pacasmayo","79.17%","20.83%","100.00%","","","","",""
" La Lbertad, provincia: Pataz","78.17%","21.83%","100.00%","","","","",""
" La Lbertad, provincia: Sánchez Carrión","87.79%","12.21%","100.00%","","","","",""
" La Lbertad, provincia: Santiago de Chuco","88.19%","11.81%","100.00%","","","","",""
" La Lbertad, provincia: Trujillo","68.38%","31.62%","100.00%","","","","",""
" La Lbertad, provincia: Virú","73.97%","26.03%","100.00%","","","","",""
" Lambayeque, provincia: Chiclayo","75.36%","24.64%","100.00%","","","","",""
" Lambayeque, provincia: Ferreñafe","85.04%","14.96%","100.00%","","","","",""
" Lambayeque, provincia: Lambayeque","78.51%","21.49%","100.00%","","","","",""
" Lima, provincia: Barranca","78.22%","21.78%","100.00%","","","","",""
" Lima, provincia: Cajatambo","83.08%","16.92%","100.00%","","","","",""
" Lima, provincia: Cañete","76.09%","23.91%","100.00%","","","","",""
" Lima, provincia: Canta","73.25%","26.75%","100.00%","","","","",""
" Lima, provincia: Huaral","74.22%","25.78%","100.00%","","","","",""
" Lima, provincia: Huarochirí","75.08%","24.92%","100.00%","","","","",""
" Lima, provincia: Huaura","73.86%","26.14%","100.00%","","","","",""
" Lima, provincia: Lima","72.50%","27.50%","100.00%","","","","",""
" Lima, provincia: Oyón","74.19%","25.81%","100.00%","","","","",""
" Lima, provincia: Yauyos","76.02%","23.98%","100.00%","","","","",""
" Loreto, provincia: Alto Amazonas","89.66%","10.34%","100.00%","","","","",""
" Loreto, provincia: Datem del Marañón","88.82%","11.18%","100.00%","","","","",""
" Loreto, provincia: Loreto","88.65%","11.35%","100.00%","","","","",""
" Loreto, provincia: Mariscal Ramón Castilla","81.65%","18.35%","100.00%","","","","",""
" Loreto, provincia: Maynas","84.11%","15.89%","100.00%","","","","",""
" Loreto, provincia: Putumayo","91.54%","8.46%","100.00%","","","","",""
" Loreto, provincia: Requena","88.85%","11.15%","100.00%","","","","",""
" Loreto, provincia: Ucayali","84.11%","15.89%","100.00%","","","","",""
" Madre de Dios, provincia: Manu","58.15%","41.85%","100.00%","","","","",""
" Madre de Dios, provincia: Tahuamanu","73.33%","26.67%","100.00%","","","","",""
" Madre de Dios, provincia: Tambopata","69.15%","30.85%","100.00%","","","","",""
" Moquegua, provincia: General Sánchez Cerro","75.55%","24.45%","100.00%","","","","",""
" Moquegua, provincia: Ilo","76.52%","23.48%","100.00%","","","","",""
" Moquegua, provincia: Mariscal Nieto","79.43%","20.57%","100.00%","","","","",""
" Pasco, provincia: Daniel Alcides Carrión","86.10%","13.90%","100.00%","","","","",""
" Pasco, provincia: Oxapampa","77.89%","22.11%","100.00%","","","","",""
" Pasco, provincia: Pasco","79.84%","20.16%","100.00%","","","","",""
" Piura, provincia: Ayabaca","87.19%","12.81%","100.00%","","","","",""
" Piura, provincia: Huancabamba","90.23%","9.77%","100.00%","","","","",""
" Piura, provincia: Morropón","83.04%","16.96%","100.00%","","","","",""
" Piura, provincia: Paita","73.62%","26.38%","100.00%","","","","",""
" Piura, provincia: Piura","73.59%","26.41%","100.00%","","","","",""
" Piura, provincia: Sechura","68.81%","31.19%","100.00%","","","","",""
" Piura, provincia: Sullana","76.88%","23.12%","100.00%","","","","",""
