"Provincia","Sí sabe leer y escribir","No sabe leer y escribir","Total","","","","",""
" Huancavelica, provincia: Churcampa","76.61%","23.39%","100.00%","","","","",""
" Huancavelica, provincia: Huancavelica","82.63%","17.37%","100.00%","","","","",""
" Huancavelica, provincia: Huaytará","83.64%","16.36%","100.00%","","","","",""
" Huancavelica, provincia: Tayacaja","79.18%","20.82%","100.00%","","","","",""
" Huánuco, provincia: Ambo","79.63%","20.37%","100.00%","","","","",""
" Huánuco, provincia: Dos De Mayo","81.35%","18.65%","100.00%","","","","",""
" Huánuco, provincia: Huacaybamba","77.72%","22.28%","100.00%","","","","",""
" Huánuco, provincia: Huamalíes","82.79%","17.21%","100.00%","","","","",""
" Huánuco, provincia: Huánuco","84.73%","15.27%","100.00%","","","","",""
" Huánuco, provincia: Lauricocha","87.61%","12.39%","100.00%","","","","",""
" Huánuco, provincia: Leoncio Prado","85.96%","14.04%","100.00%","","","","",""
" Huánuco, provincia: Marañón","79.21%","20.79%","100.00%","","","","",""
" Huánuco, provincia: Pachitea","73.42%","26.58%","100.00%","","","","",""
" Huánuco, provincia: Puerto Inca","83.74%","16.26%","100.00%","","","","",""
" Huánuco, provincia: Yarowilca","78.09%","21.91%","100.00%","","","","",""
" Ica, provincia: Chincha","91.32%","8.68%","100.00%","","","","",""
" Ica, provincia: Ica","92.24%","7.76%","100.00%","","","","",""
" Ica, provincia: Nazca","90.99%","9.01%","100.00%","","","","",""
" Ica, provincia: Palpa","89.38%","10.62%","100.00%","","","","",""
" Ica, provincia: Pisco","90.74%","9.26%","100.00%","","","","",""
" Junín, provincia: Chanchamayo","87.29%","12.71%","100.00%","","","","",""
" Junín, provincia: Chupaca","88.59%","11.41%","100.00%","","","","",""
" Junín, provincia: Concepción","86.64%","13.36%","100.00%","","","","",""
" Junín, provincia: Huancayo","90.54%","9.46%","100.00%","","","","",""
" Junín, provincia: Jauja","88.50%","11.50%","100.00%","","","","",""
" Junín, provincia: Junín","84.98%","15.02%","100.00%","","","","",""
" Junín, provincia: Satipo","83.34%","16.66%","100.00%","","","","",""
" Junín, provincia: Tarma","88.06%","11.94%","100.00%","","","","",""
" Junín, provincia: Yauli","92.92%","7.08%","100.00%","","","","",""
" La Lbertad, provincia: Ascope","90.16%","9.84%","100.00%","","","","",""
" La Lbertad, provincia: Bolívar","82.52%","17.48%","100.00%","","","","",""
" La Lbertad, provincia: Chepén","88.60%","11.40%","100.00%","","","","",""
" La Lbertad, provincia: Gran Chimú","84.45%","15.55%","100.00%","","","","",""
" La Lbertad, provincia: Julcán","82.38%","17.62%","100.00%","","","","",""
" La Lbertad, provincia: Otuzco","82.01%","17.99%","100.00%","","","","",""
" La Lbertad, provincia: Pacasmayo","89.16%","10.84%","100.00%","","","","",""
" La Lbertad, provincia: Pataz","80.26%","19.74%","100.00%","","","","",""
" La Lbertad, provincia: Sánchez Carrión","75.36%","24.64%","100.00%","","","","",""
" La Lbertad, provincia: Santiago de Chuco","83.14%","16.86%","100.00%","","","","",""
" La Lbertad, provincia: Trujillo","91.34%","8.66%","100.00%","","","","",""
" La Lbertad, provincia: Virú","85.47%","14.53%","100.00%","","","","",""
" Lambayeque, provincia: Chiclayo","90.99%","9.01%","100.00%","","","","",""
" Lambayeque, provincia: Ferreñafe","83.22%","16.78%","100.00%","","","","",""
" Lambayeque, provincia: Lambayeque","86.40%","13.60%","100.00%","","","","",""
" Lima, provincia: Barranca","89.88%","10.12%","100.00%","","","","",""
" Lima, provincia: Cajatambo","86.24%","13.76%","100.00%","","","","",""
" Lima, provincia: Cañete","91.09%","8.91%","100.00%","","","","",""
